"species","pop","GSD","GAD","ASD"
"S4","S.P.1",4.6,3.67,0.64
"Ari","Ari.1",5.66,3.46,4.09
"Ari","Ari.1",5.13,5.65,6.89
"Ari","Ari.1",6.14,3.61,4.5
"Ari","Ari.1",6.48,5.45,4.57
"Ari","Ari.1",NA,3.51,5.86
"Ari","Ari.1",6.87,4.29,6.25
"Ari","Ari.1",6.18,7.13,7.83
"Ari","Ari.1",5.27,2.62,6.53
"Ari","Ari.1",6.08,5.92,7.81
"Ari","Ari.1",5.69,4.23,6.61
"Ari","Ari.2",4.85,4.56,6.15
"Ari","Ari.2",4.7,5.32,5.53
"Ari","Ari.2",5.9,6.27,6.27
"Ari","Ari.2",6.59,5.17,8.49
"Ari","Ari.2",6.17,NA,7
"Ari","Ari.2",5.88,6.4,5.43
"Ari","Ari.2",5.89,6.32,6.39
"Ari","Ari.2",5.02,5.06,5.67
"Ari","Ari.2",6.31,5.13,6.21
"Ari","Ari.2",6.31,5.44,7.53
"Ari","Ari.2",5.93,5.5,7.12
"Ari","Ari.2",6.59,5.24,7.74
"Ari","Ari.2",5.74,5.39,7.52
"Bella","B.1",5.53,3.62,1.46
"Bella","B.1",7.14,5.44,2.8
"Bella","B.1",6.27,4.92,4.16
"Bella","B.1",6.21,3.17,2.18
"Bella","B.1",3.71,3.42,2.43
"S4","S.P.2",5.08,3.84,1.46
"Ari","Ari.3",5.31,4.79,7.01
"Ari","Ari.3",5.2,6.38,6.08
"Ari","Ari.3",7.8,5.21,9.69
"Ari","Ari.3",5.42,8.19,8.56
"Ari","Ari.3",6.04,5.72,7.61
"Ari","Ari.4",6,6.32,7.73
"Ari","Ari.4",5.14,4.75,7.6
"Ari","Ari.4",7.32,5.33,7.55
"Ari","Ari.4",5.33,4.97,5.98
"Ari","Ari.4",4.96,6.78,6.99
"Ari","Ari.4",4.75,6.66,6.31
"Ari","Ari.4",6.14,8.17,7.87
"Ari","Ari.4",3.6,8.49,6.12
"Ari","Ari.4",6.48,7.22,8.62
"Ari","Ari.4",6,6.85,8.44
"Ari","Ari.4",5.22,5.9,9.15
"Ari","Ari.4",5.99,8.17,7.4
"Ari","Ari.5",6.08,4.9,5.5
"Ari","Ari.5",6.77,2.79,6.22
"Ari","Ari.5",5.38,6.78,6.04
"Ari","Ari.5",5.03,5.71,7.97
"Ari","Ari.5",6.4,4.94,7.7
