"species","pop","patch","GSD","GAD","ASD"
"S","S7","F",5.39,4.93,3.93
"S","S2","A",5.71,4.02,5.11
"S","S2","B",6.08,4.7,3.09
"S","S2","B",6.54,4.39,3.38
"S","S2","C",6.57,5.17,3.29
"S","S2","D",5.16,5.43,4.32
"S","S2","E",4.73,4.35,4.35
"S","S2","F",4.52,4.48,3.72
"S","S2","G",5.29,4.01,5.62
"S","S2","H",5.2,4.02,2.93
"S","S2","I",6.29,4.59,5.87
"S","S2","J",6.22,4.67,3.13
"S","S2","K",4.27,4.73,3.46
"S","S2","L",5.8,6.22,2.74
"S","S2","M",5.89,4.4,3.11
"S","S20","1",5.26,6.64,3.38
"S","S20","3",6.19,5.87,2.63
"S","S20","3",6.18,7.92,7.7
"S","S20","3",4.72,6.23,7.47
"S","S20","2",6.58,6.13,6.03
"S","S20","2",5.89,6.54,4.71
"S","S20","1",6.19,5.87,7.18
"S","S20","1",4.96,6.37,6.3
"S","S20","1",5.59,7.05,6.27
"S","S20","1",5.77,7.37,7.5
"S","S20","1",4.5,5.89,6.4
"S","S20","1",5.86,5.9,6.87
"S","S19","1",5.69,7.75,7.14
"S","S19","1",5.02,5.32,5.07
"S","S19","1",5.3,6.92,6.57
"S","S19","1",6.16,4.56,6.31
"S","S19","1",6.43,7.34,4.06
"S","S19","2",6.29,6.16,4.22
"S","S19","3",5.26,5.83,6.53
"S","S19","3",6.69,5.94,6.27
"S","S19","4",5.48,3.93,5.51
"S","S19","1",5.95,7.91,5.16
"S","S19","1",5.14,6.63,6.89
"S","S19","3",5.6,6.55,7.37
"S","S20","1",5.43,7.29,8.36
"S","S20","1",5.12,6.98,8.15
"S","S20","2",4.89,6.05,4.37
"S","S18","C",5.03,4.44,4.17
"S","S18","D",5.6,5.72,5.58
"S","S18","D",4.96,6.26,6.08
"S","S18","A",3.73,4.57,5.14
"S","S18","E",6.73,5.9,4.27
"S","S18","B",6.79,3.36,4.93
"S","S18","B",5.44,5.29,4.06
"S","S18","B",6.79,4.8,4.85
